iso3c,year,Total_Access,Urban_Access,Rural_Access,Country Name,BEC (toe/m2),BCE (tCO2e/m2),DBE (tCO2e/m2),total_building_stock_m2,Building Energy Consumption (toe),Building Carbon Emissions (tCO2e),Direct Building Emissions (tCO2e)
AFG,2020,33.8,84.2,16.6,Afghanistan,NA,NA,NA,150877311.7,NA,NA,NA
AFG,2021,34.17382613,85.11278935,16.79794417,Afghanistan,NA,NA,NA,156640640.2,NA,NA,NA
AFG,2022,34.55178676,86.035474,16.9982487,Afghanistan,NA,NA,NA,162624120.9,NA,NA,NA
AFG,2023,34.93392761,86.96816122,17.20094173,Afghanistan,NA,NA,NA,168836163.2,NA,NA,NA
AFG,2024,35.32029491,87.910959449999993,17.40605174,Afghanistan,NA,NA,NA,175285497.9,NA,NA,NA
AFG,2025,35.71093542,88.86397831,17.61360755,Afghanistan,NA,NA,NA,181981189.3,NA,NA,NA
AFG,2026,36.10589639,89.82732858,17.82363833,Afghanistan,NA,NA,NA,193473083.8,NA,NA,NA
AFG,2027,36.50522561,90.80112227,18.0361736,Afghanistan,NA,NA,NA,205690677.7,NA,NA,NA
AFG,2028,36.90897138,91.78547259,18.2512432,Afghanistan,NA,NA,NA,218679798,NA,NA,NA
AFG,2029,37.31718256,92.78049399,18.46887737,Afghanistan,NA,NA,NA,232489165.7,NA,NA,NA
AFG,2030,37.72990854,93.78630214,18.68910669,Afghanistan,NA,NA,NA,247170578.6,NA,NA,NA
AFG,2031,38.14719924,94.80301399,18.9119621,Afghanistan,NA,NA,NA,263609234.7,NA,NA,NA
AFG,2032,38.56910515,95.83074773,19.13747491,Afghanistan,NA,NA,NA,281141182,NA,NA,NA
AFG,2033,38.99567732,96.86962286,19.36567681,Afghanistan,NA,NA,NA,299839132.4,NA,NA,NA
AFG,2034,39.42696736,97.91976015,19.59659988,Afghanistan,NA,NA,NA,319780633.6,NA,NA,NA
AFG,2035,39.86302743,98.9812817,19.83027655,Afghanistan,NA,NA,NA,341048390.9,NA,NA,NA
AFG,2036,40.30391031,100,20.06673966,Afghanistan,NA,NA,NA,364135014,NA,NA,NA
AFG,2037,40.74966933,100,20.30602245,Afghanistan,NA,NA,NA,388784442.3,NA,NA,NA
AFG,2038,41.20035842,100,20.54815852,Afghanistan,NA,NA,NA,415102466.7,NA,NA,NA
